year,head_to_head,result,fifa_rank_diff,home_form_total,away_form_total,stage_encoded,home_team_encoded,away_team_encoded
2010,0,home team win,361.7883374359617,1.0,0.3,0,8,50
2010,0,draw,-27.289303883623234,0.3,0.39999999999999997,0,44,67
2010,0,draw,-31.93240834864855,0.39999999999999997,0.6,0,38,57
2010,0,away team win,-106.36093727742877,0.19999999999999998,0.7000000000000001,0,32,12
2010,2,away team win,325.61537070160193,1.0,0.19999999999999998,0,68,74
2010,0,away team win,-136.3561415201027,1.5,0.7000000000000001,0,65,83
2010,2,away team win,56.627000650775244,0.3,1.5,0,27,45
2010,1,home team win,107.08644042650553,1.7,0.19999999999999998,0,2,70
2010,0,home team win,-65.27693640050188,0.19999999999999998,0.39999999999999997,0,30,49
2010,0,draw,275.17123021481234,1.5,0.09999999999999999,0,25,0
2010,0,draw,-142.76423071010458,0.7999999999999999,1.4,0,64,82
2010,0,away team win,103.97937497277644,3.6999999999999997,0.39999999999999997,0,28,65
2010,0,home team win,188.11695105487956,2.5999999999999996,0.09999999999999999,0,43,43
2010,1,draw,-64.029599566956,0.3,0.39999999999999997,0,29,3
2010,0,away team win,-12.321760391476118,0.5,0.19999999999999998,0,10,21
2010,0,away team win,-106.50294432088072,0.39999999999999997,1.2,0,63,54
2010,0,draw,225.64691355011155,0.8999999999999999,0.3,0,37,48
2010,0,home team win,204.13676134447815,2.4,0.39999999999999997,0,8,41
2010,1,home team win,111.82218618916636,0.7000000000000001,0.8999999999999999,0,12,74
2010,0,home team win,302.96542554390703,1.0,0.19999999999999998,0,68,34
2010,1,home team win,196.07214800902375,0.6,1.0,0,53,50
2010,1,away team win,174.812075070452,0.3,0.7999999999999999,0,27,69
2010,0,away team win,-7.634573376775961,0.7999999999999999,2.8,0,41,83
2010,0,away team win,-190.60945854832812,1.5999999999999999,1.0,0,30,2
2010,0,draw,-26.938442888803138,0.39999999999999997,0.8999999999999999,0,45,70
2010,0,away team win,-242.44059646748292,2.1999999999999997,0.7999999999999999,0,64,27
2010,0,home team win,157.18279621728038,0.7000000000000001,0.09999999999999999,0,78,0
2010,0,home team win,5.255432676868395,0.39999999999999997,1.0999999999999999,0,3,65
2010,0,away team win,-134.26066654522265,1.0,0.8999999999999999,0,29,30
2010,0,away team win,42.43907642087402,0.19999999999999998,0.09999999999999999,0,21,43
2010,0,away team win,-189.3406714612122,1.2,1.2,0,10,47
2010,0,draw,140.3908771360816,0.5,1.0,0,50,48
2010,0,home team win,-196.70521775881366,0.39999999999999997,0.19999999999999998,0,63,40
2010,0,away team win,-160.38979587289123,0.3,1.0999999999999999,0,46,41
2010,1,draw,-168.21647206406442,5.499999999999999,1.0,0,53,8
2010,0,away team win,-174.1997456108238,1.4,1.0,0,12,72
2010,0,draw,11.40176027772759,0.19999999999999998,0.19999999999999998,0,70,34
2010,1,home team win,27.491562450364654,0.7000000000000001,1.2499999999999998,3,79,70
2010,0,away team win,75.91227925606972,1.4,1.0,3,78,31
2010,2,home team win,127.11725020390395,2.75,1.8499999999999996,3,2,45
2010,1,home team win,-28.15148263732135,2.3,1.5,3,28,27
2010,0,home team win,269.700931761854,2.25,1.0999999999999999,3,43,67
2010,2,home team win,177.91063628316533,2.75,1.4,3,8,12
2010,0,home team win,25.836615934748806,0.5,1.15,3,50,43
2010,0,home team win,176.42091337824422,1.7,0.6,3,68,57
2010,1,home team win,-65.32346029988753,2.3666666666666667,1.0,4,43,8
2010,0,home team win,101.57105149088784,1.4,1.3499999999999999,4,79,31
2010,0,away team win,48.0451006677647,2.8666666666666663,1.5999999999999999,4,2,30
2010,0,away team win,-245.30625078968433,0.5,2.4,4,50,72
2010,0,away team win,-118.3089335738639,1.4,2.5999999999999996,1,79,47
2010,0,away team win,-129.51585982194024,2.7666666666666666,2.05,1,28,72
2010,0,away team win,-63.58361968588042,1.8666666666666667,2.65,5,79,30
2010,0,away team win,-74.14852455817663,2.3666666666666667,1.9333333333333331,2,43,72
2011,0,away team win,-85.88596451852072,0.8999999999999999,0.5,0,45,29
2011,1,home team win,258.05893152266776,0.39999999999999997,0.3,0,28,11
2011,0,home team win,166.81538693647371,0.3,0.09999999999999999,0,40,48
2011,0,draw,-74.06467597080768,0.39999999999999997,0.39999999999999997,0,41,27
2011,0,away team win,-64.01464508305548,0.39999999999999997,0.5,0,15,73
2011,2,home team win,95.97096960105046,0.09999999999999999,0.3,0,78,50
2011,0,home team win,305.54071012990653,0.3,0.19999999999999998,0,48,28
2011,2,home team win,176.93546090181462,0.3,0.5,0,8,3
2011,0,away team win,-212.9630803709988,0.3,1.2,0,11,29
2011,1,home team win,130.9818156701897,1.7999999999999998,0.8999999999999999,0,28,49
2011,0,home team win,-15.988820535421382,1.7,0.39999999999999997,0,40,45
2011,0,away team win,-250.70043919711497,0.09999999999999999,1.0999999999999999,0,44,27
2011,1,home team win,5.616979512997432,1.5,0.39999999999999997,0,78,15
2011,0,away team win,-154.3686351711085,0.3,1.2,0,46,73
2011,2,home team win,232.0775081051745,1.0,0.3,0,8,52
2011,0,home team win,360.6827573332664,0.5,0.19999999999999998,0,3,28
2011,0,home team win,83.88505226064126,0.39999999999999997,0.3,0,25,43
2011,0,draw,-176.49506562257602,0.7999999999999999,0.39999999999999997,0,44,45
2011,0,away team win,-127.07711585247807,0.3,0.8999999999999999,0,11,49
2011,0,away team win,-45.09585115166897,0.5,0.39999999999999997,0,27,30
2011,0,home team win,55.14204720335988,2.5999999999999996,0.3,0,3,52
2011,0,away team win,-529.5770576393086,0.19999999999999998,0.3,0,26,8
2011,0,draw,-96.00582474386283,0.3,0.39999999999999997,0,46,15
2011,0,home team win,58.39766557005805,0.5,0.09999999999999999,0,69,82
2011,3,away team win,101.40034393587962,1.4499999999999997,0.3,8,28,43
2011,2,away team win,27.580559476430608,1.7999999999999998,2.25,8,25,29
2011,1,home team win,-3.9484979335777552,1.9,0.5,8,69,3
2011,2,away team win,224.14503144463833,1.7,0.7999999999999999,8,8,82
2011,0,away team win,104.79105107547252,1.9,1.15,9,27,82
2011,0,home team win,-9.91110727879618,2.3999999999999995,1.2,9,40,73
2011,0,home team win,-46.39338550541447,2.25,1.9,5,69,29
2011,0,home team win,48.48655829126187,2.3999999999999995,1.5,2,40,82
2014,1,home team win,184.84053086291237,1.0,0.5,0,8,17
2014,0,home team win,88.95131155452145,0.5,0.39999999999999997,0,12,3
2014,1,away team win,131.53171163114735,0.5,0.39999999999999997,0,68,47
2014,0,home team win,35.37347855063376,0.3,0.39999999999999997,0,41,10
2014,0,home team win,43.81069328014382,0.6,0.19999999999999998,0,15,32
2014,0,away team win,174.41791847804416,0.39999999999999997,0.19999999999999998,0,79,16
2014,0,away team win,69.47667599445685,0.5,0.09999999999999999,0,25,40
2014,0,home team win,30.22762738489314,0.5,0.7999999999999999,0,38,43
2014,0,home team win,-8.984522257843537,0.5,0.39999999999999997,0,70,24
2014,0,home team win,189.3263783801808,1.2999999999999998,0.39999999999999997,0,27,34
2014,0,home team win,224.58730462311428,0.5,0.3,0,2,7
2014,2,away team win,-69.60263593602576,0.39999999999999997,0.39999999999999997,0,29,82
2014,1,home team win,66.392018814131,0.7999999999999999,0.6,0,28,57
2014,0,draw,-20.275553592210372,0.3,0.3,0,35,49
2014,0,home team win,87.31546686854222,0.7999999999999999,0.7000000000000001,0,5,0
2014,4,draw,231.6828967193503,3.0999999999999996,0.3,0,8,45
2014,0,draw,58.97267160161505,0.39999999999999997,0.19999999999999998,0,57,70
2014,0,away team win,-88.29453581652365,0.39999999999999997,1.2,0,10,17
2014,0,away team win,-150.39719088334846,0.39999999999999997,3.9,0,3,47
2014,2,away team win,151.24329858619922,1.2,0.5,0,68,12
2014,0,draw,12.535706542241542,0.7999999999999999,0.19999999999999998,0,40,32
2014,1,home team win,-25.61255629888319,1.0999999999999999,0.5,0,79,27
2014,0,home team win,0.3755326050941221,2.6999999999999997,0.5,0,15,41
2014,0,away team win,126.4367122998201,0.09999999999999999,2.3,0,37,16
2014,0,away team win,-73.27675978886055,1.9,1.2999999999999998,0,70,29
2014,0,away team win,-116.51778697869781,0.39999999999999997,1.0999999999999999,0,32,24
2014,0,home team win,196.02441177560263,1.9,0.3,0,2,37
2014,1,draw,199.56245127385955,3.5999999999999996,0.39999999999999997,0,28,31
2014,0,home team win,58.69759888618705,0.3,1.0,0,45,7
2014,0,away team win,69.74458575298422,0.19999999999999998,1.4,0,66,0
2014,1,draw,-30.729915296033596,0.39999999999999997,0.6,0,78,57
2014,1,home team win,-22.68661160368447,2.1999999999999997,0.39999999999999997,0,5,61
2014,0,away team win,-242.64780013079053,1.7999999999999998,0.5,0,3,72
2014,0,home team win,43.73480588521738,0.39999999999999997,1.9,0,43,12
2014,0,away team win,-282.5533719910786,0.39999999999999997,1.0,0,10,8
2014,0,away team win,43.259915979076595,0.5,0.3,0,17,45
2014,0,draw,-143.24465977130194,0.19999999999999998,1.2,0,16,27
2014,1,away team win,-38.434325138858185,0.09999999999999999,0.39999999999999997,0,37,83
2014,0,away team win,-53.758125853435104,0.7999999999999999,0.6,0,40,15
2014,0,home team win,-45.280165137920676,0.19999999999999998,1.2,0,30,41
2014,0,draw,-80.41231851822135,0.39999999999999997,4.8,0,23,29
2014,0,away team win,-121.16793422502451,1.0999999999999999,0.5,0,32,74
2014,0,home team win,-36.558426082302276,0.3,0.3,0,7,37
2014,0,away team win,-168.59163718336617,1.0,0.5,0,45,2
2014,0,home team win,117.07171628542187,0.6,1.7999999999999998,0,53,31
2014,2,away team win,-103.2082566946417,1.7999999999999998,0.7999999999999999,0,78,30
2014,0,draw,-97.81386648765874,0.7000000000000001,0.39999999999999997,0,0,61
2014,0,away team win,-50.06570826615098,1.5999999999999999,0.7999999999999999,0,66,5
2014,3,home team win,139.00077549066464,2.05,1.2,3,8,12
2014,0,home team win,-9.592542994112137,2.35,1.0999999999999999,3,15,83
2014,0,home team win,-71.41872438644259,0.19999999999999998,0.19999999999999998,3,16,32
2014,0,home team win,121.83359418360146,1.7999999999999998,1.3499999999999999,3,43,45
2014,1,home team win,99.45227477265166,3.3999999999999995,0.3,3,27,49
2014,0,home team win,252.39358407743066,2.8999999999999995,2.45,3,28,0
2014,1,home team win,171.22515928632356,1.5499999999999998,2.5999999999999996,3,2,74
2014,0,home team win,-27.13090149325467,1.8499999999999996,1.7999999999999998,3,5,82
2014,0,away team win,-69.57184656068921,3.05,1.5,4,27,30
2014,0,home team win,133.31792529926952,1.9333333333333331,3.4,4,8,15
2014,1,home team win,158.8685806120934,1.4333333333333331,1.5,4,2,5
2014,0,home team win,203.16029278071778,1.7999999999999998,1.5999999999999999,4,43,16
2014,1,away team win,49.88564483860819,1.7,1.5,1,8,30
